,Tag,Doin (mV),No.peak,DOmin (mV),DDO (mV),Sheet Name,Sample Name
101,GGA7.5-HH-5,335.02368,5518,299.9,35.123680000000036,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
102,GGA7.5-HH-5,332.3077,5991,296.09999,36.20771000000002,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 5mg-L-16092024-Q=50.3mL-phút-2
103,GGA7.5,345.66923,311,298.20001,47.46922000000001,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
104,GGA7.5,335.7125,782,288.8,46.912499999999966,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
105,GGA7.5,333.108,1255,287.60001,45.50799000000001,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
106,GGA7.5,332.356,1729,286.3,46.05599999999998,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
107,GGA7.5,338.092,2201,291.20001,46.891989999999964,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
108,GGA7.5,346.70417,2675,299.69999,47.00417999999996,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
109,GGA7.5,351.22,3148,303.5,47.72000000000003,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
110,GGA7.5,346.7125,3647,298.40001,48.31248999999997,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
111,GGA7.5,349.264,4122,303.7,45.56400000000002,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
112,GGA7.5-HH-15,337.152,4594,297.89999,39.252009999999984,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
113,GGA7.5-HH-15,329.57916,5067,293.1,36.47915999999998,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
114,GGA7.5-HH-15,326.256,5540,289.20001,37.05598999999995,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
115,GGA7.5-HH-15,327.70833,6014,288.30001,39.40832,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
116,GGA7.5-HH-15,323.86,6489,287.80001,36.05999000000003,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
117,GGA7.5-HH-15,324.10834,6962,289.0,35.10834,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
118,GGA7.5-HH-15,316.768,7458,280.80001,35.967989999999986,U189-H5-VS2-12.09.2024,U189-H5-VS2-GGA7.5- HH 15mg-L-16092024-Q=50.4mL-phút-2
119,GGA5,306.7954,301,229.6,77.1954,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
120,GGA5,306.8969,774,225.1,81.7969,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
121,GGA5,305.3123,1248,225.89999,78.5123,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
122,GGA5,314.6828,1721,226.2,88.4828,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
123,GGA5,315.2289,2195,223.5,91.7289,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
124,GGA5,306.2865,2674,215.20001,91.0865,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
125,GGA5,307.3804,3144,213.3,94.0804,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
126,GGA5-HH-15,306.3294,3619,224.5,81.8294,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
127,GGA5-HH-15,305.2098,4091,225.4,79.8098,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
128,GGA5-HH-15,304.0745,4567,227.4,76.6745,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
129,GGA5-HH-15,308.451,5037,230.19999,78.251,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
130,GGA5-HH-15,309.7667,5509,231.19999,78.5667,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
131,GGA5-HH-15,317.4157,5985,239.4,78.0157,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA5- HH 15mg-L-17092024-Q=50.14mL-phút-2
132,GGA2.5,323.87059,301,240.6,83.27059,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4
133,GGA2.5,324.25098,775,234.3,89.95098000000002,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4
134,GGA2.5,315.43269,1247,225.89999,89.53269999999998,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4
135,GGA2.5,308.68491,1724,222.7,85.98491000000001,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4
136,GGA2.5,316.47451,2204,227.59999,88.87452000000002,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4
137,GGA2.5-HH15,312.75098,2673,237.10001,75.65097000000003,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4
138,GGA2.5-HH15,310.20192,3146,236.6,73.60191999999998,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4
139,GGA2.5-HH15,308.10577,3619,232.2,75.90577000000002,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4
140,GGA2.5-HH15,308.6353,4093,232.3,76.33529999999996,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4
141,GGA2.5-HH15,312.2451,4566,238.6,73.64509999999999,U190-H5-VS2-15.09.2024,U190-H5-VS2-GGA2.5- HH 15mg-L-17092024-Q=50.64mL-phút-4
142,GGA10,327.196,301,300.1,27.096000000000004,U191-H5-VS2-15.09.2024,U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1
143,GGA10,326.16667,773,299.4,26.766670000000033,U191-H5-VS2-15.09.2024,U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1
144,GGA10,323.58,1247,299.0,24.579999999999984,U191-H5-VS2-15.09.2024,U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1
145,GGA10,324.32333,1719,298.0,26.32333,U191-H5-VS2-15.09.2024,U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1
146,GGA10,322.9129,2195,297.7,25.21289999999999,U191-H5-VS2-15.09.2024,U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1
147,GGA10,321.86316,2667,295.8,26.063159999999982,U191-H5-VS2-15.09.2024,U191-H5-VS2-GGA10- HH 5mg-L-18092024-Q=50mL-phút-1
